1a30 Lig_1    1.542
1a30 Lig_2   11.327
1a30 Lig_3    7.311
1a30 Lig_4    2.589
1a30 Lig_5    4.160
1a30 Lig_6    6.349
1a30 Lig_7   10.555
1a30 Lig_8    3.909
1a30 Lig_9    8.260
1a30 Lig_10   7.551
1a30 Lig_11   6.150
1a30 Lig_12   1.476
1a30 Lig_13   7.896
1a30 Lig_14   9.544
1a30 Lig_15   7.777
1a30 Lig_16   6.278
1a30 Lig_17   7.304
1a30 Lig_18   6.837
1a30 Lig_19   4.781
1a30 Lig_20   5.000
1a30 Lig_21   7.321
1a30 Lig_22   1.338
1a30 Lig_23  11.222
1a30 Lig_24   9.391
1a30 Lig_25   2.619
1a30 Lig_26   4.053
1a30 Lig_27   6.338
1a30 Lig_28  10.661
1a30 Lig_29   5.926
1a30 Lig_30   7.589
1a30 Lig_31   8.270
1a30 Lig_32   2.619
1a30 Lig_33   7.920
1a30 Lig_34   7.876
1a30 Lig_35   6.165
1a30 Lig_36   6.600
1a30 Lig_37   5.428
1a30 Lig_38   5.889
1a30 Lig_39   6.762
1a30 Lig_40   2.490
1a30 Lig_41   1.523
1a30 Lig_42  11.411
1a30 Lig_43   7.353
1a30 Lig_44   3.806
1a30 Lig_45   9.074
1a30 Lig_46   2.648
1a30 Lig_47   7.495
1a30 Lig_48  10.620
1a30 Lig_49   6.373
1a30 Lig_50   7.747
1a30 Lig_51   8.234
1a30 Lig_52   3.072
1a30 Lig_53   7.526
1a30 Lig_54   6.337
1a30 Lig_55   6.311
1a30 Lig_56   3.061
1a30 Lig_57   2.380
1a30 Lig_58   7.042
1a30 Lig_59   5.512
1a30 Lig_60   4.036
1a30 Lig_61   1.339
1a30 Lig_62   7.336
1a30 Lig_63   6.366
1a30 Lig_64   3.281
1a30 Lig_65   4.076
1a30 Lig_66   2.663
1a30 Lig_67  11.066
1a30 Lig_68   5.469
1a30 Lig_69   5.812
1a30 Lig_70   6.174
1a30 Lig_71   5.860
1a30 Lig_72   5.959
1a30 Lig_73   6.041
1a30 Lig_74   6.257
1a30 Lig_75   7.016
1a30 Lig_76   6.432
1a30 Lig_77   7.740
1a30 Lig_78   2.355
1a30 Lig_79   6.253
1a30 Lig_80   2.741
1a30 Lig_81   1.518
1a30 Lig_82   7.322
1a30 Lig_83  11.488
1a30 Lig_84   2.578
1a30 Lig_85   7.831
1a30 Lig_86   9.042
1a30 Lig_87   6.134
1a30 Lig_88   8.345
1a30 Lig_89   4.044
1a30 Lig_90   1.396
1a30 Lig_91   6.615
1a30 Lig_92   7.167
1a30 Lig_93   8.967
1a30 Lig_94   7.655
1a30 Lig_95   2.598
1a30 Lig_96   8.176
1a30 Lig_97   7.148
1a30 Lig_98   5.999
1a30 Lig_99   6.936
1a30 Lig_100  4.679
2zcr Lig_1    3.082
2zcr Lig_2    1.475
2zcr Lig_3    2.223
2zcr Lig_4    1.267
2zcr Lig_5    0.959
2zcr Lig_6    2.460
2zcr Lig_7    2.315
2zcr Lig_8    3.623
2zcr Lig_9    3.622
2zcr Lig_10   4.483
2zcr Lig_11   5.413
2zcr Lig_12   5.440
2zcr Lig_13   3.805
2zcr Lig_14   4.800
2zcr Lig_15   4.828
2zcr Lig_16   6.410
2zcr Lig_17   4.104
2zcr Lig_18   3.040
2zcr Lig_19   6.843
2zcr Lig_20   5.958
2zcr Lig_21   0.893
2zcr Lig_22   3.080
2zcr Lig_23   0.933
2zcr Lig_24   2.208
2zcr Lig_25   4.010
2zcr Lig_26   2.536
2zcr Lig_27   2.875
2zcr Lig_28   3.892
2zcr Lig_29   2.715
2zcr Lig_30   2.755
2zcr Lig_31   5.251
2zcr Lig_32   4.125
2zcr Lig_33   3.971
2zcr Lig_34   5.185
2zcr Lig_35   4.450
2zcr Lig_36   4.243
2zcr Lig_37   5.822
2zcr Lig_38   5.995
2zcr Lig_39   4.643
2zcr Lig_40   7.181
2zcr Lig_41   3.003
2zcr Lig_42   1.444
2zcr Lig_43   1.019
2zcr Lig_44   2.357
2zcr Lig_45   0.869
2zcr Lig_46   2.399
2zcr Lig_47   2.995
2zcr Lig_48   2.581
2zcr Lig_49   4.819
2zcr Lig_50   5.115
2zcr Lig_51   2.110
2zcr Lig_52   4.223
2zcr Lig_53   5.604
2zcr Lig_54   5.230
2zcr Lig_55   4.520
2zcr Lig_56   5.895
2zcr Lig_57   4.414
2zcr Lig_58   4.190
2zcr Lig_59   6.274
2zcr Lig_60   6.286
2zcr Lig_61   3.016
2zcr Lig_62   1.484
2zcr Lig_63   0.837
2zcr Lig_64   2.220
2zcr Lig_65   2.928
2zcr Lig_66   2.891
2zcr Lig_67   1.355
2zcr Lig_68   2.847
2zcr Lig_69   2.264
2zcr Lig_70   2.978
2zcr Lig_71   3.716
2zcr Lig_72   5.622
2zcr Lig_73   4.564
2zcr Lig_74   3.381
2zcr Lig_75   5.426
2zcr Lig_76   4.686
2zcr Lig_77   5.332
2zcr Lig_78   3.715
2zcr Lig_79   3.723
2zcr Lig_80   6.087
2zcr Lig_81   2.947
2zcr Lig_82   1.021
2zcr Lig_83   2.239
2zcr Lig_84   1.427
2zcr Lig_85   2.315
2zcr Lig_86   3.756
2zcr Lig_87   0.809
2zcr Lig_88   3.808
2zcr Lig_89   3.143
2zcr Lig_90   2.673
2zcr Lig_91   2.459
2zcr Lig_92   3.593
2zcr Lig_93   2.011
2zcr Lig_94   2.422
2zcr Lig_95   5.270
2zcr Lig_96   4.443
2zcr Lig_97   5.150
2zcr Lig_98   2.912
2zcr Lig_99   6.951
2zcr Lig_100  6.229
